"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"0500000US13063","Clayton County, Georgia","97030","1802","6.6","1.8","4.3","1.4","11.0","2.5","9.0","1.8","17.2","2.6","25.2","2.7","10.5","1.6","11.5","2.3","3.6","1.6","1.2","0.6","51093","1923","60225","2928","48.9","(X)","(X)","(X)","(X)","(X)","62746","3397","6.0","2.1","3.7","1.6","7.2","2.3","8.7","2.5","19.0","3.4","24.7","3.3","13.6","2.4","11.7","2.7","3.7","1.9","1.7","0.9","54658","3773","64616","3696","(X)","(X)","51.3","(X)","(X)","(X)","33573","3471","0.8","0.7","2.0","1.7","3.1","1.9","6.0","3.1","16.8","4.1","27.0","5.6","20.3","4.3","15.2","4.4","6.3","3.5","2.5","1.4","69401","5867","N","N","(X)","(X)","(X)","(X)","(X)","(X)","34284","3486","8.9","3.1","4.7","2.1","19.0","4.9","11.3","3.2","13.9","3.4","25.0","5.0","4.9","1.9","10.0","4.3","2.2","2.2","0.1","0.2","40423","6056","48701","5333","(X)","(X)","(X)","(X)","42.5","(X)"
"0500000US13067","Cobb County, Georgia","286952","3167","3.7","0.8","2.3","0.5","4.6","0.8","7.5","0.9","11.6","1.3","17.4","1.5","14.2","1.3","17.0","1.3","10.0","1.0","11.7","1.0","79601","2818","108459","3892","32.4","(X)","(X)","(X)","(X)","(X)","191533","5244","1.9","0.6","0.9","0.5","3.1","0.8","6.5","1.1","9.5","1.5","15.8","1.6","14.3","1.6","19.4","1.7","13.0","1.2","15.7","1.3","97396","3416","127813","4868","(X)","(X)","33.6","(X)","(X)","(X)","141439","5376","1.0","0.6","0.3","0.3","1.7","0.6","4.0","1.1","7.9","1.5","13.8","1.7","13.7","1.8","22.3","2.2","15.8","1.7","19.5","1.5","115727","4666","145805","5579","(X)","(X)","(X)","(X)","(X)","(X)","95419","4670","7.9","2.1","5.1","1.5","8.7","2.0","10.2","1.7","16.3","2.9","20.8","2.7","12.8","2.1","11.2","1.9","3.8","1.4","3.2","1.2","50932","2018","66261","4875","(X)","(X)","(X)","(X)","27.7","(X)"
"0500000US13073","Columbia County, Georgia","46890","2705","1.7","1.2","0.9","0.6","4.8","2.1","7.8","3.1","6.2","1.9","18.1","3.6","17.0","3.7","23.6","4.3","8.9","2.4","10.9","2.9","88761","6099","111034","10045","31.2","(X)","(X)","(X)","(X)","(X)","33620","2523","0.7","0.7","0.2","0.3","2.9","1.7","4.7","2.3","5.5","2.1","18.7","4.2","18.6","4.6","23.9","4.4","11.4","3.1","13.5","3.6","95776","12403","121005","10151","(X)","(X)","29.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","115069","9590","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13270","2299","4.2","3.5","2.9","2.2","9.8","5.0","16.1","9.1","9.1","4.1","16.9","6.5","15.1","6.1","18.7","7.9","2.7","2.8","4.5","4.2","60777","14308","83346","18570","(X)","(X)","(X)","(X)","35.0","(X)"
"0500000US13077","Coweta County, Georgia","53640","1356","4.4","1.6","4.6","1.8","7.1","2.4","5.6","1.8","9.6","2.1","16.8","3.0","14.6","2.6","22.1","3.0","10.3","2.7","4.9","1.4","78423","6687","90034","6438","41.2","(X)","(X)","(X)","(X)","(X)","37400","2106","1.3","0.9","1.9","1.5","4.5","2.5","6.0","2.5","8.7","2.8","15.0","3.5","15.9","3.3","28.3","3.7","12.4","3.3","6.0","1.8","93872","7254","101862","7327","(X)","(X)","41.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","101738","2877","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16240","1937","11.3","4.9","11.3","4.6","13.5","5.9","4.3","2.2","13.3","4.8","22.0","7.4","10.9","4.9","9.0","4.3","2.9","2.5","1.5","1.4","46351","9080","54263","7542","(X)","(X)","(X)","(X)","39.3","(X)"
"0500000US13089","DeKalb County, Georgia","289829","3342","5.6","0.8","3.3","0.7","8.5","1.2","9.4","1.0","13.1","1.3","17.1","1.2","12.7","1.1","13.3","1.1","6.5","0.9","10.5","0.8","63652","3193","94336","3057","27.6","(X)","(X)","(X)","(X)","(X)","157737","5825","2.1","0.6","2.2","0.9","5.8","1.2","6.6","1.3","10.9","1.8","16.0","1.8","13.6","1.6","17.8","1.9","9.2","1.4","15.8","1.2","85420","3681","119825","4931","(X)","(X)","31.2","(X)","(X)","(X)","102814","4841","0.9","0.5","1.3","0.8","2.5","0.8","4.8","1.3","6.8","1.5","14.7","2.1","13.0","2.1","21.0","2.6","12.5","2.1","22.5","1.9","112239","6274","148461","7174","(X)","(X)","(X)","(X)","(X)","(X)","132092","5502","10.1","1.7","5.1","1.3","12.1","2.0","12.8","2.1","16.2","2.0","18.0","2.0","11.8","1.7","7.0","1.1","2.8","0.8","4.2","0.9","43377","2493","61574","3069","(X)","(X)","(X)","(X)","21.9","(X)"
"0500000US13095","Dougherty County, Georgia","32630","1314","14.9","3.5","9.0","3.2","15.8","3.9","10.2","2.8","14.7","3.7","15.2","3.3","8.2","2.9","8.3","2.8","1.9","1.3","1.9","1.2","35062","4466","51382","5681","44.0","(X)","(X)","(X)","(X)","(X)","18213","1801","11.9","4.2","4.8","2.9","9.7","4.4","11.8","3.8","15.4","5.0","14.4","4.1","12.7","5.1","12.7","4.9","3.3","2.3","3.2","2.0","46232","6754","66933","9166","(X)","(X)","44.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77905","16298","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14417","1585","20.1","6.7","13.5","5.7","23.4","6.8","8.7","4.4","15.3","6.1","15.2","4.7","1.6","1.2","2.0","1.5","0.0","1.6","0.2","0.4","20481","3263","30435","3391","(X)","(X)","(X)","(X)","42.4","(X)"
"0500000US13097","Douglas County, Georgia","48899","1680","4.7","1.9","3.1","1.7","6.9","2.6","8.3","2.7","17.3","4.0","17.9","3.8","15.3","3.2","15.4","3.8","6.4","2.6","4.7","2.0","62669","6931","80676","6673","33.4","(X)","(X)","(X)","(X)","(X)","32898","2488","2.0","1.5","2.0","1.9","4.1","2.3","5.4","2.9","14.9","4.5","18.6","4.5","17.5","3.5","20.0","5.0","8.6","3.9","6.9","2.9","78746","5946","97128","8235","(X)","(X)","38.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94298","9258","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16001","2408","10.3","5.2","7.0","4.0","13.0","6.4","14.7","5.7","21.9","8.1","17.2","7.2","10.8","6.0","4.8","4.7","0.0","1.4","0.3","0.5","39427","7487","42939","6159","(X)","(X)","(X)","(X)","19.8","(X)"
"0500000US13113","Fayette County, Georgia","41253","1092","2.3","1.0","1.9","1.0","2.3","1.2","6.4","2.2","8.3","2.7","18.4","3.5","14.6","2.9","19.3","3.1","10.2","2.6","16.3","2.3","92172","7124","128190","10025","35.7","(X)","(X)","(X)","(X)","(X)","33101","1798","0.8","0.7","1.1","0.9","1.2","0.9","5.0","2.1","8.6","3.7","17.7","4.4","13.1","3.3","21.1","3.6","11.3","2.9","20.1","3.0","108553","15991","142288","13559","(X)","(X)","36.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","121262","9290","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8152","1334","9.2","4.6","5.0","4.0","7.5","4.7","13.9","7.3","13.1","7.1","21.5","9.5","17.8","8.1","9.9","4.6","1.1","1.3","0.8","1.4","50703","10151","57706","6262","(X)","(X)","(X)","(X)","31.5","(X)"
"0500000US13115","Floyd County, Georgia","35443","1365","6.1","2.3","4.1","2.4","13.9","3.2","11.4","3.0","14.1","2.9","18.1","3.6","11.9","3.2","12.9","3.0","4.4","1.7","3.2","1.3","50880","6357","68905","5593","27.8","(X)","(X)","(X)","(X)","(X)","23561","1745","1.9","1.6","1.3","0.9","8.6","2.9","11.8","3.8","13.5","3.8","22.3","5.0","13.4","3.4","16.9","3.8","6.4","2.7","3.9","1.8","63562","4257","82097","8076","(X)","(X)","28.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","69243","5741","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11882","1751","14.3","6.1","9.7","6.9","24.4","7.9","11.4","4.8","14.6","6.5","11.4","4.7","8.2","6.7","3.8","3.2","0.6","0.7","1.7","1.5","26150","7021","41271","7088","(X)","(X)","(X)","(X)","25.2","(X)"
"0500000US13117","Forsyth County, Georgia","81765","1731","1.8","0.7","1.2","0.7","4.2","1.2","4.1","1.2","6.4","1.3","14.4","1.9","11.2","1.7","22.5","2.2","15.3","1.7","18.9","1.7","112108","4407","134249","4729","28.0","(X)","(X)","(X)","(X)","(X)","66802","1912","1.1","0.6","0.6","0.5","2.1","0.9","2.4","0.8","5.8","1.4","12.0","1.9","11.3","2.0","24.7","2.4","18.1","2.1","22.0","2.2","125028","6015","148523","5761","(X)","(X)","27.6","(X)","(X)","(X)","58039","2103","0.6","0.5","0.2","0.3","1.7","0.8","1.5","0.7","4.2","1.2","11.6","2.1","11.1","2.0","25.7","2.5","19.2","2.4","24.1","2.3","134829","6760","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14963","1584","6.4","3.0","4.1","3.0","13.6","4.9","12.2","4.7","11.3","4.2","22.7","5.4","12.0","3.6","11.0","5.0","3.1","2.0","3.6","2.1","52429","7806","66183","8602","(X)","(X)","(X)","(X)","25.7","(X)"
"0500000US13121","Fulton County, Georgia","439578","4514","6.3","0.8","3.4","0.6","6.7","0.9","6.3","0.8","10.2","1.0","14.4","1.1","11.3","1.1","16.1","1.3","9.1","0.8","16.2","1.0","80013","2733","125680","4313","32.7","(X)","(X)","(X)","(X)","(X)","238444","7670","3.8","0.9","2.1","0.7","5.9","1.0","4.9","1.1","7.3","1.1","11.6","1.3","10.0","1.5","17.8","1.9","12.1","1.2","24.5","1.6","109818","5559","162352","6656","(X)","(X)","36.2","(X)","(X)","(X)","159639","6475","1.0","0.7","0.6","0.3","1.9","0.7","2.6","0.9","4.0","1.0","7.9","1.4","10.3","1.8","20.6","2.1","16.4","1.7","34.9","2.2","152182","5429","210071","9873","(X)","(X)","(X)","(X)","(X)","(X)","201134","7660","9.4","1.4","4.9","1.0","8.5","1.5","8.5","1.4","14.0","1.9","17.6","1.9","12.5","1.6","13.6","1.6","5.1","1.1","5.8","1.0","55624","3183","79242","5329","(X)","(X)","(X)","(X)","27.6","(X)"
"0500000US13127","Glynn County, Georgia","34614","1867","5.8","3.1","3.8","1.7","13.0","3.4","9.7","3.0","8.3","2.5","22.0","4.7","10.4","3.3","16.7","3.5","4.9","1.8","5.5","1.9","59004","4958","82009","8559","38.4","(X)","(X)","(X)","(X)","(X)","22352","2084","4.0","3.2","2.7","2.1","8.4","3.1","7.8","4.1","6.6","2.9","23.6","6.7","9.5","3.9","23.2","4.9","7.5","2.7","6.7","2.5","68104","9857","99333","10892","(X)","(X)","37.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","97728","24208","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12262","1931","10.7","6.9","5.7","3.5","21.5","7.7","13.0","5.9","10.2","4.9","19.3","7.4","11.6","6.3","4.9","3.1","0.0","1.8","3.2","3.0","34190","9629","49208","8226","(X)","(X)","(X)","(X)","37.8","(X)"
"0500000US13135","Gwinnett County, Georgia","301471","3216","3.7","0.7","2.2","0.5","5.8","1.0","7.9","1.2","12.4","1.4","19.7","1.7","13.7","1.5","18.4","1.6","8.5","0.9","7.6","0.9","72109","2338","93401","2853","36.8","(X)","(X)","(X)","(X)","(X)","230960","5766","2.6","0.8","1.2","0.6","5.1","1.1","7.3","1.1","10.5","1.4","20.1","2.0","13.7","1.6","20.9","2.1","9.8","1.0","8.7","1.2","80954","2679","101894","3604","(X)","(X)","37.9","(X)","(X)","(X)","175282","5409","1.4","0.5","0.8","0.6","4.0","1.2","5.1","1.2","8.9","1.7","17.9","1.9","14.5","1.7","24.0","2.6","12.3","1.3","11.0","1.5","95650","4780","114854","4707","(X)","(X)","(X)","(X)","(X)","(X)","70511","4844","9.0","2.0","5.7","1.9","8.7","1.9","11.5","2.8","18.8","3.1","19.9","3.4","13.5","3.0","7.1","1.7","2.7","1.1","3.2","1.5","46498","3517","58941","4372","(X)","(X)","(X)","(X)","30.4","(X)"
"0500000US13139","Hall County, Georgia","65625","2079","2.2","0.9","3.9","1.6","8.1","2.0","9.4","1.9","12.0","2.1","19.6","2.7","11.8","2.0","17.9","2.5","7.1","1.5","7.9","1.6","67467","6118","96366","7874","36.5","(X)","(X)","(X)","(X)","(X)","48776","2342","1.4","0.9","1.9","1.1","5.2","2.0","8.5","2.3","10.0","2.1","19.4","3.0","13.5","2.5","22.1","3.1","9.0","2.0","9.2","1.8","78870","6277","104889","6929","(X)","(X)","37.6","(X)","(X)","(X)","38367","2563","0.4","0.4","0.5","0.6","2.6","1.7","5.8","2.1","9.9","2.4","18.9","3.6","14.3","2.6","25.9","3.6","10.3","2.3","11.3","2.1","95946","6524","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16849","1675","5.9","2.6","10.1","4.9","17.7","5.5","13.3","4.5","17.6","4.5","20.2","6.1","5.4","2.7","5.1","2.6","0.9","1.1","4.0","2.3","36327","3348","67093","18995","(X)","(X)","(X)","(X)","31.4","(X)"
"0500000US13151","Henry County, Georgia","79550","1820","3.2","1.4","2.2","1.1","4.7","1.4","8.2","2.2","11.2","2.5","21.9","3.8","15.1","2.8","20.5","2.9","7.0","2.0","6.0","1.7","71939","6110","90267","5581","34.9","(X)","(X)","(X)","(X)","(X)","60471","2707","1.6","1.3","1.7","1.2","3.1","1.5","6.8","2.6","8.6","2.6","24.1","4.6","13.7","3.0","24.1","4.0","8.8","2.5","7.4","2.3","81290","6461","100372","7126","(X)","(X)","35.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","101475","5539","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19079","2493","8.7","4.2","3.2","2.2","11.1","4.2","15.5","5.7","18.9","5.8","17.9","5.8","16.2","6.2","6.8","3.9","0.4","0.7","1.3","1.4","43928","5932","52624","5866","(X)","(X)","(X)","(X)","30.1","(X)"
"0500000US13153","Houston County, Georgia","58417","1868","7.1","2.6","3.6","1.5","6.1","1.9","9.1","2.5","13.1","3.0","18.0","3.4","15.5","3.5","16.1","3.1","7.3","2.1","4.1","1.7","66740","8140","77442","4943","41.8","(X)","(X)","(X)","(X)","(X)","39810","2934","3.8","2.2","2.2","1.4","4.3","2.2","6.4","1.8","15.5","4.3","17.3","3.9","14.6","3.1","20.4","4.2","9.9","2.8","5.5","2.1","75512","7789","89578","5721","(X)","(X)","41.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94680","9203","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18607","2917","14.2","6.2","6.4","3.7","10.2","4.3","15.0","6.5","16.8","6.3","12.7","5.1","15.3","8.5","6.4","4.0","3.0","3.3","0.0","1.2","36448","3538","47220","6910","(X)","(X)","(X)","(X)","39.2","(X)"
"0500000US13157","Jackson County, Georgia","25180","831","8.2","3.2","3.9","2.7","6.8","3.1","9.8","3.9","10.9","3.5","15.3","3.8","14.8","4.1","17.7","4.2","5.9","2.3","6.6","3.2","65063","8857","84923","9806","31.7","(X)","(X)","(X)","(X)","(X)","19467","1290","3.6","2.6","2.4","2.9","6.7","3.8","8.4","3.5","9.4","4.0","16.1","4.1","14.9","4.4","22.3","5.7","7.6","3.0","8.5","4.0","81255","11738","99270","12233","(X)","(X)","32.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","98067","9570","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5713","1104","24.8","11.2","9.1","5.3","6.4","4.4","16.1","11.1","17.1","6.9","14.5","8.3","10.5","9.1","1.4","2.2","0.0","3.9","0.0","3.9","30633","8018","33974","7168","(X)","(X)","(X)","(X)","30.9","(X)"
"0500000US13185","Lowndes County, Georgia","42639","1440","8.1","3.0","3.8","1.9","13.1","3.6","14.9","3.0","13.6","3.1","20.0","3.9","12.1","3.0","8.4","2.3","2.9","1.1","3.2","1.5","45683","7502","62009","5380","61.6","(X)","(X)","(X)","(X)","(X)","26536","1904","5.4","2.9","1.7","1.6","12.7","4.3","10.8","3.3","13.0","3.9","19.2","4.5","15.5","3.9","13.2","3.7","4.1","1.7","4.2","2.2","57050","7898","74142","7435","(X)","(X)","56.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","73021","6910","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16103","2031","15.2","6.8","7.3","3.9","14.3","6.0","21.1","6.8","14.8","5.8","19.6","6.4","4.7","3.1","1.7","1.7","0.8","1.0","0.4","0.6","30235","3148","36631","4180","(X)","(X)","(X)","(X)","68.5","(X)"
"0500000US13215","Muscogee County, Georgia","73134","1814","10.2","2.1","5.2","1.3","10.7","2.2","13.0","2.4","13.9","2.2","18.6","2.4","10.2","2.0","9.9","1.5","3.1","1.2","5.2","1.3","46934","3607","70702","6612","48.3","(X)","(X)","(X)","(X)","(X)","45689","2485","7.1","2.3","4.3","1.7","8.2","2.1","12.6","2.8","11.5","2.4","18.7","3.0","13.6","2.7","12.4","1.9","4.0","1.5","7.7","2.1","60420","5933","85434","10401","(X)","(X)","49.4","(X)","(X)","(X)","28165","2227","1.1","0.8","2.4","1.8","4.4","1.9","7.3","2.4","10.8","3.1","23.2","3.9","16.9","3.7","16.7","3.1","6.5","2.5","10.8","3.2","75999","6589","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27445","2236","15.6","4.1","7.4","2.2","14.2","4.5","14.5","3.7","19.1","4.9","17.5","4.1","4.1","2.0","5.0","2.6","1.5","1.4","1.0","0.6","33262","6113","44129","4554","(X)","(X)","(X)","(X)","45.5","(X)"
"0500000US13217","Newton County, Georgia","37867","1008","5.6","2.4","4.8","2.5","10.7","5.0","9.5","3.4","14.0","5.4","22.9","5.2","9.7","3.1","15.3","4.0","4.4","2.1","3.2","1.7","57254","6290","70273","6437","35.7","(X)","(X)","(X)","(X)","(X)","28095","1833","3.7","2.3","2.5","2.2","9.4","6.1","6.8","3.0","15.7","8.3","23.3","5.2","12.4","4.2","18.0","5.0","4.5","2.3","3.7","2.0","61017","5255","77642","7822","(X)","(X)","35.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","67481","15245","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9772","1843","11.0","6.4","11.4","6.3","14.7","6.6","17.4","8.8","20.5","8.6","11.5","6.0","4.3","2.5","8.7","5.8","0.3","0.5","0.1","0.2","31926","3937","39120","5469","(X)","(X)","(X)","(X)","34.8","(X)"
"0500000US13223","Paulding County, Georgia","56476","1811","5.4","2.2","0.9","0.7","5.8","2.3","5.1","2.1","12.6","3.0","19.2","4.7","17.9","4.0","22.5","3.9","7.8","2.3","2.7","1.3","75800","5246","82879","4742","33.1","(X)","(X)","(X)","(X)","(X)","44021","2463","2.8","1.6","0.1","0.2","4.6","2.7","3.9","2.4","11.7","3.5","19.0","5.7","19.6","4.8","25.6","5.1","9.1","3.0","3.5","1.7","85763","4505","91406","5443","(X)","(X)","31.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91179","6416","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12455","2228","14.6","7.8","3.8","3.0","11.4","4.6","10.5","6.2","17.6","9.7","19.1","8.8","13.2","7.0","6.6","3.5","3.2","3.1","0.0","1.8","39285","11138","48347","6520","(X)","(X)","(X)","(X)","38.0","(X)"
"0500000US13245","Richmond County, Georgia","68361","3137","7.8","1.9","7.6","1.7","10.9","2.2","12.1","2.5","16.4","3.2","20.4","3.2","10.6","2.5","9.1","1.9","2.3","0.8","2.9","0.9","44973","3469","59361","3460","40.5","(X)","(X)","(X)","(X)","(X)","42363","3071","6.4","2.6","3.8","1.5","11.1","3.3","11.5","3.3","13.8","3.9","22.6","4.4","12.3","3.3","10.9","2.7","3.0","1.2","4.6","1.5","52580","3948","69551","4838","(X)","(X)","40.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74546","7124","N","N","(X)","(X)","(X)","(X)","(X)","(X)","25998","2905","11.3","3.2","13.8","3.9","13.3","2.8","15.9","4.2","20.7","5.1","13.0","3.6","7.3","3.2","3.5","1.4","1.0","0.9","0.2","0.3","31274","2949","38399","2932","(X)","(X)","(X)","(X)","37.5","(X)"
"0500000US13247","Rockdale County, Georgia","32792","684","7.4","3.0","2.4","1.8","6.8","3.0","8.4","3.3","16.6","4.1","17.3","4.2","14.0","3.7","18.6","4.3","2.2","1.3","6.3","2.7","60560","7015","78651","6677","52.9","(X)","(X)","(X)","(X)","(X)","23533","2082","3.1","1.9","1.6","2.2","7.5","3.5","9.2","4.2","13.8","4.6","19.9","4.7","15.2","4.6","19.7","5.1","3.0","1.9","7.1","3.2","66640","7969","85260","8087","(X)","(X)","57.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91908","12279","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9259","1949","19.2","8.9","4.4","3.2","8.1","5.1","6.9","4.2","24.4","8.3","16.0","8.3","6.6","3.8","10.2","5.9","0.0","2.4","4.2","4.5","41182","3892","55473","13258","(X)","(X)","(X)","(X)","41.4","(X)"
"0500000US13255","Spalding County, Georgia","25339","994","5.5","3.1","5.5","2.4","11.6","4.3","10.8","3.8","14.8","4.0","21.2","5.6","12.5","3.9","9.3","3.5","4.5","2.4","4.2","2.1","51677","8133","68860","6953","31.3","(X)","(X)","(X)","(X)","(X)","16563","1861","4.4","4.0","3.0","2.2","9.6","5.0","7.2","4.2","16.1","4.8","22.5","6.5","15.0","4.9","11.4","4.4","6.4","3.3","4.5","2.3","59654","9910","78292","9578","(X)","(X)","31.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78854","6214","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8776","1933","9.3","5.5","10.2","5.9","16.5","6.5","15.9","8.7","15.5","8.0","19.2","8.2","4.3","2.9","4.7","4.1","0.9","1.7","3.6","3.7","34404","5095","47151","8811","(X)","(X)","(X)","(X)","26.5","(X)"
"0500000US13285","Troup County, Georgia","24436","1100","12.9","4.9","5.2","2.3","11.3","4.3","10.2","3.6","12.8","3.9","18.3","4.9","10.9","2.8","11.8","4.2","2.7","1.6","4.0","1.9","46198","6339","62990","6947","39.4","(X)","(X)","(X)","(X)","(X)","15354","1356","4.4","2.8","2.8","2.1","10.5","5.3","11.0","4.7","10.9","4.0","20.2","6.4","15.3","4.1","14.8","5.6","3.9","2.4","6.3","3.1","62837","5485","79831","9804","(X)","(X)","47.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81194","12880","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9082","1433","27.3","11.8","9.2","5.1","13.5","6.8","9.3","5.1","16.1","8.0","18.1","8.3","2.9","2.1","3.0","2.8","0.7","1.2","0.0","2.5","25000","13940","31816","6519","(X)","(X)","(X)","(X)","25.0","(X)"
"0500000US13295","Walker County, Georgia","26760","1208","3.6","2.1","8.5","3.5","13.5","3.9","12.5","3.4","12.7","4.5","22.5","5.3","12.6","3.4","9.6","3.0","2.0","1.6","2.4","1.4","47856","7456","58818","4386","22.2","(X)","(X)","(X)","(X)","(X)","17810","1732","2.0","2.1","2.2","2.2","9.1","4.6","9.6","3.5","12.8","5.7","28.1","6.4","16.0","4.7","14.2","4.5","3.0","2.4","3.0","1.8","61720","2892","71303","5465","(X)","(X)","22.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","67654","5622","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8950","1580","6.9","4.0","22.1","9.2","22.4","8.2","17.1","7.8","14.1","7.7","10.9","5.4","4.9","4.4","1.0","1.3","0.0","2.5","0.6","1.1","22170","12323","31865","5478","(X)","(X)","(X)","(X)","21.3","(X)"
